level,function,cycles_avg,cycles_median,code_dimension,null_eta2
1,poly_getnoise_eta2,1448,1428,4,True
1,poly_getnoise_eta1_4x,3276,3239,4,True
1,NTT,150,150,4,True
1,INVNTT,165,165,4,True
1,polyvec_basemul_acc_montgomery,146,134,4,True
1,poly_tomsg,990,974,4,True
1,poly_frommsg,58,59,4,True
1,poly_compress,17,17,4,True
1,poly_decompress,23,23,4,True
1,polyvec_compress,207,196,4,True
1,polyvec_decompress,74,55,4,True
1,indcpa_keypair,11366,11215,4,True
1,indcpa_enc,10234,10216,4,True
1,indcpa_dec,1879,1867,4,True
1,kyber_keypair,18943,17503,4,True
1,kyber_encaps,28610,26482,4,True
1,kyber_decaps,21194,20930,4,True
1,kex_uake_initA,42787,42311,4,True
1,kex_uake_sharedB,47869,46777,4,True
1,kex_uake_sharedA,22270,21992,4,True
1,kex_ake_initA,44054,43146,4,True
1,kex_ake_sharedB,73946,72263,4,True
1,kex_ake_sharedA,42767,41956,4,True
3,gen_a,13935,13454,2,False
3,poly_getnoise_eta1,1435,1410,2,False
3,poly_getnoise_eta2,1457,1430,2,False
3,poly_getnoise_eta1_4x,1675,1673,2,False
3,NTT,153,153,2,False
3,INVNTT,164,164,2,False
3,polyvec_basemul_acc_montgomery,208,207,2,False
3,poly_tomsg,412,412,2,False
3,poly_frommsg,80,80,2,False
3,poly_compress,14,15,2,False
3,poly_decompress,18,18,2,False
3,polyvec_compress,339,340,2,False
3,polyvec_decompress,86,87,2,False
3,indcpa_keypair,21114,20951,2,False
3,indcpa_enc,20197,19558,2,False
3,indcpa_dec,1580,1569,2,False
3,kyber_keypair,30272,29630,2,False
3,kyber_encaps,40945,40379,2,False
3,kyber_decaps,32967,32171,2,False
3,kex_uake_initA,71209,69832,2,False
3,kex_uake_sharedB,76098,73829,2,False
3,kex_uake_sharedA,34161,33253,2,False
3,kex_ake_initA,70703,69562,2,False
3,kex_ake_sharedB,116080,114294,2,False
3,kex_ake_sharedA,67435,65673,2,False
5,gen_a,21448,20885,1,False
5,poly_getnoise_eta1,1489,1430,1,False
5,poly_getnoise_eta2,1437,1432,1,False
5,poly_getnoise_eta1_4x,1675,1669,1,False
5,NTT,150,150,1,False
5,INVNTT,163,164,1,False
5,polyvec_basemul_acc_montgomery,280,277,1,False
5,poly_tomsg,16,17,1,False
5,poly_frommsg,23,23,1,False
5,poly_compress,37,37,1,False
5,poly_decompress,24,25,1,False
5,polyvec_compress,505,505,1,False
5,polyvec_decompress,169,170,1,False
5,indcpa_keypair,30205,29275,1,False
5,indcpa_enc,30993,30633,1,False
5,indcpa_dec,1545,1544,1,False
5,kyber_keypair,41752,40330,1,False
5,kyber_encaps,57762,56322,1,False
5,kyber_decaps,46490,46104,1,False
5,kex_uake_initA,98590,96672,1,False
5,kex_uake_sharedB,104489,102661,1,False
5,kex_uake_sharedA,47647,47256,1,False
5,kex_ake_initA,100385,96745,1,False
5,kex_ake_sharedB,163450,159245,1,False
5,kex_ake_sharedA,103333,93813,1,False
3,gen_a,14003,13700,2,True
3,poly_getnoise_eta1,1455,1430,2,True
3,poly_getnoise_eta2,1431,1429,2,True
3,poly_getnoise_eta1_4x,1672,1670,2,True
3,NTT,150,150,2,True
3,INVNTT,163,164,2,True
3,polyvec_basemul_acc_montgomery,205,203,2,True
3,poly_tomsg,413,414,2,True
3,poly_frommsg,81,80,2,True
3,poly_compress,14,15,2,True
3,poly_decompress,18,18,2,True
3,polyvec_compress,329,329,2,True
3,polyvec_decompress,87,86,2,True
3,indcpa_keypair,21247,21108,2,True
3,indcpa_enc,18301,17724,2,True
3,indcpa_dec,1572,1549,2,True
3,kyber_keypair,29878,29644,2,True
3,kyber_encaps,39436,38774,2,True
3,kyber_decaps,31078,30510,2,True
3,kex_uake_initA,69431,68079,2,True
3,kex_uake_sharedB,73016,72093,2,True
3,kex_uake_sharedA,33076,33181,2,True
3,kex_ake_initA,68383,68008,2,True
3,kex_ake_sharedB,110709,109597,2,True
3,kex_ake_sharedA,63965,61192,2,True
